"method","sim_id","fold","c_index","auprc","mrr","ef_at_1pct","ef_at_5pct","ef_at_10pct","precision_at_1pct","precision_at_5pct","precision_at_10pct","recall_at_1pct","recall_at_5pct","recall_at_10pct","mcc_at_1pct","mcc_at_5pct","mcc_at_10pct","runtime","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda"
"sNPDR-signed",2,1,NA,0.0170753430438094,0.0333333333333333,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,141.123,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,1,NA,0.0190303224458893,0.0158730158730159,0,0,1,0,0,0.02,0,0,0.1,-0.0143576830751316,-0.0327736762672231,0,74.327,500,1000,0,10,0,0,NA,NA
"Cox",2,1,NA,0.0189073531114173,0.0384615384615385,0,2,1,0,0.04,0.02,0,0.1,0.1,-0.0143576830751316,0.0327736762672231,0,22.917,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",2,1,NA,0.0198815881892106,0.0714285714285714,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,23.486,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",2,2,NA,0.0172129733778202,0.00925925925925926,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,231.394,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",2,2,NA,0.0161017564919457,0.032258064516129,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,99.605,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,2,NA,0.0213696541661781,0.04,0,20,10,0,0.4,0.2,0,1,1,-0.0143576830751316,0.622699849077239,0.428571428571429,90.865,500,1000,0,10,0,0,NA,NA
"Cox",2,2,NA,0.0155758463038752,0.0185185185185185,0,0,1,0,0,0.02,0,0,0.1,-0.0143576830751316,-0.0327736762672231,0,26.332,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",2,3,NA,0.0169713231123267,0.0303030303030303,0,2,1.5,0,0.04,0.03,0,0.1,0.15,-0.0143576830751316,0.0327736762672231,0.0238095238095238,365.327,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",2,3,NA,0.0138563988614682,0.0075187969924812,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,127.015,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,3,NA,0.0181583181179968,0.0131578947368421,0,0,9,0,0,0.18,0,0,0.9,-0.0143576830751316,-0.0327736762672231,0.380952380952381,59.3620000000001,500,1000,0,10,0,0,NA,NA
"Cox",2,3,NA,0.0161425317964376,0.0121951219512195,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,3.87100000000009,500,1000,0,10,0,0,NA,NA
"SVM",2,3,NA,0.0166744637877804,0.027027027027027,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,44.325,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",2,3,NA,0.02,0.0555555555555556,0,2,2,0,0.04,0.04,0,0.1,0.2,-0.0143576830751316,0.0327736762672231,0.0476190476190476,96.4770000000001,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",2,4,NA,0.0198543062884106,0.0333333333333333,0,1,1.5,0,0.02,0.03,0,0.05,0.15,-0.0143576830751316,0,0.0238095238095238,89.0980000000002,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",2,4,NA,0.0147842251043342,0.0078740157480315,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,260.253,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",2,4,NA,0.0189585674675318,0.0588235294117647,0,20,10,0,0.4,0.2,0,1,1,-0.0143576830751316,0.622699849077239,0.428571428571429,71.8509999999997,500,1000,0,10,0,0,NA,NA
"Cox",2,4,NA,0.0160873660064302,0.0175438596491228,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,29.0619999999999,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",2,4,NA,0.0198815881892106,0.00833333333333333,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,44.944,500,1000,0,10,0,0,NA,NA
