"method","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda","mean_mrr","sd_mrr","mean_ef_at_1pct","sd_ef_at_1pct","median_ef_at_1pct","q1_ef_at_1pct","q3_ef_at_1pct","mean_ef_at_5pct","sd_ef_at_5pct","mean_ef_at_10pct","sd_ef_at_10pct","mean_auprc","sd_auprc","mean_runtime","n_sims"
"LASSO-sNPDR",200,1000,10,0,0.27,0,NA,NA,0.337242500380867,0.299583262170644,34.9,31.8167450119885,32,5,60.75,16.76,4.48886341258476,9.92,0.254641130344565,0.0127322178407129,0.00564335321391935,50.327045,20
"LASSO-sNPDR",200,1000,10,0,0.33,0,NA,NA,0.351096657925252,0.321308243258839,36.8,32.5440592040035,24.5,9.5,60,16.88,3.36570943487402,9.845,0.325212481148459,0.0120377311573085,0.00374798140271073,45.387685,20
"LASSO-sNPDR",200,1000,10,0,0.4,0,NA,NA,0.328500047127209,0.319557008613159,33.55,34.1212620856232,16,3,60,16.92,3.86258707958389,9.835,0.529423718475297,0.0126398881171012,0.00649000696017895,43.270575,20
"SVM",200,1000,10,0,0,0,NA,NA,0.0344225204366896,0.0548014843609886,0.884920634920635,2.48308849512572,0,0,0,0.653174603174603,0.697081637736698,0.80140873015873,0.478469699862452,0.0118687004345287,0.00419399390108365,37.5318290079365,20
"SVM",200,1000,10,0,0.07,0,NA,NA,0.918882275132275,0.116013478033476,42.9527777777778,10.6337242388056,42.0833333333333,35.2777777777778,47.8472222222222,13.8668650793651,2.02496505539082,7.86210317460317,0.944454207070987,0.419281551336935,0.13170951692018,41.2666441865079,20
"SVM",200,1000,10,0,0.13,0,NA,NA,0.994097222222222,0.0182032588800234,71.7218253968254,9.62659567035243,69.4444444444444,65.2232142857143,77.3015873015873,18.7930555555556,1.04439682796161,9.67668650793651,0.368855261872356,0.771143108848143,0.100854046248136,36.2846972420635,20
"SVM",200,1000,10,0,0.2,0,NA,NA,1,0,79.9170634920635,7.83685122908956,80,73.6309523809524,86.0625,19.4839285714286,0.57581786082251,9.87811507936508,0.230713806323304,0.871668565600921,0.0745382105517629,38.417381765873,20
"SVM",200,1000,10,0,0.27,0,NA,NA,1,0,81.5509920634921,7.28629501672004,80,76.6666666666667,87.3015873015873,19.5832936507936,0.512976604810252,9.95357142857143,0.118223967756519,0.891862448312155,0.063214933063212,34.0914099007936,20
"SVM",200,1000,10,0,0.33,0,NA,NA,1,0,81.6253968253968,7.2440805719156,80.625,77,87.25,19.5786111111111,0.538605458381093,9.94142857142857,0.154690363259964,0.894066760341986,0.0614916284987858,31.8735318650794,20
"SVM",200,1000,10,0,0.4,0,NA,NA,1,0,83.0863095238095,7.0839525451918,81.4285714285714,78.9722222222222,89.25,19.5578968253968,0.646500985988141,9.93055555555556,0.145223942593066,0.902083080115219,0.064257984085515,31.600076031746,20
"sNPDR-absolute",200,1000,10,0,0,0,NA,NA,0.0225900032928676,0.0155054228836348,0.25,0.638666373658505,0,0,0,0.76,0.697665279417905,0.94,0.663642262541785,0.0105527501432061,0.00231100872910607,11.426765,20
"sNPDR-absolute",200,1000,10,0,0.07,0,NA,NA,0.470371266927615,0.330710572487118,12.2,8.69119336485291,12,5.25,17,5.63,2.76235978448633,3.99,1.46067756447767,0.0822695470240929,0.07160807804991,10.917005,20
"sNPDR-absolute",200,1000,10,0,0.13,0,NA,NA,0.715879886875576,0.276616196409982,22.8,9.04724441910062,22.5,19.5,25.75,9.28,2.78975569577432,6.07,1.37193677927075,0.171080453799027,0.101378196670121,10.411495,20
"sNPDR-absolute",200,1000,10,0,0.2,0,NA,NA,0.797205447330447,0.242503977389464,28.2,11.3211492814392,29,20.75,34,11.07,3.14510480119921,6.78,1.33400860093495,0.221491647407336,0.116128715293095,9.66699500000002,20
"sNPDR-absolute",200,1000,10,0,0.27,0,NA,NA,0.859140151515152,0.188155174135051,33.4,11.9181418544653,33.5,26.5,40.25,11.91,3.055607442409,7.135,1.40610510949479,0.257567140183624,0.130933707436731,9.10729499999999,20
"sNPDR-absolute",200,1000,10,0,0.33,0,NA,NA,0.840130270092227,0.182741344514491,36.6,13.3944214625265,34,30,45.25,12.52,2.99922797083727,7.365,1.40310745358857,0.271157941075171,0.140423095543837,9.21469499999996,20
"sNPDR-absolute",200,1000,10,0,0.4,0,NA,NA,0.84425,0.188107475966852,35.95,13.0039467693061,33,29,46,12.49,2.81310841372465,7.28,1.20026312904603,0.27084398831835,0.137312338072578,8.56969,20
"sNPDR-signed",200,1000,10,0,0,0,NA,NA,0.0322411355290804,0.0391228018827233,0.7,1.26074330623269,0,0,1,0.96,1.24240852676099,0.99,0.784655472501349,0.0121325422264214,0.00475445380703196,10.38886,20
