"","Feature","Beta","P.Value"
"44","PAQR9.1",2.15629066872405,0.00972772839580156
"45","NCAM2.1",2.15214369343738,0.0400390191365027
"46","MTTP",-2.14147644760678,0.00335186989674703
"47","CCDC141.1",-2.12467540265137,0.056268147764918
"48","LOC150992",-2.11121778417923,0.023548489476194
"49","AAA1.1",2.0977386962066,0.00435423066874669
"50","LOC100129195",2.09115467534828,0.00435505271929413
"51","SPG11.3",-2.06990947232104,0.00164931759785472
"52","LOC440896",2.05411941289979,0.00290896643055799
"53","INHBA",2.04406144190356,0.000283827729280096
"54","C9orf11.1",2.01882253514554,0.0311988911044326
"55","ATM.2",2.0119785088688,0.0434194037621988
"56","ITGA2B.3",2.01041587947834,0.0149745152004207
"57","PCDH15",2.00540359373366,0.0490665748326781
"58","LOC100131508",2.00441342874533,0.0288492913430636
"59","C9orf57",1.98872130365114,0.0473686482162342
"60","LOC283745",1.95805691908247,0.0111659124164395
"61","LHX8",1.95658002923396,0.0028503536158601
"62","CRISP1.1",1.95595439497707,0.0911213875280633
"63","BCORP1",-1.94344311164714,0.0179473773729427
"64","LOC253573",1.94049620291199,0.0910557708042956
"65","ZNF407.3",-1.93996174063391,0.050832711215177
"66","UNC80.1",1.9397722117911,0.043393520606381
"67","GAFA3",-1.92594974970328,0.0603390922886175
"68","SPIC",1.92392496963229,0.0476326694604964
"69","SLC10A7.1",-1.91547840762178,0.0573796915056266
"70","DHRS7",-1.90106217374386,0.0187113661274515
"71","LOC441208",-1.88799121077852,0.0307490172939118
"72","STOM.2",1.88768307311628,0.0503560000733295
"73","LASS3",1.88531827498092,0.0242011085974641
"74","PWRN2",1.88313636870206,0.0804346193643801
"75","MDGA2.1",1.87659014336627,0.0582128583578967
"76","LOC284669",-1.8658004365735,0.0224142504973333
"77","XKRX",-1.86564652235844,0.001073797387105
"78","LOC100130548",1.86321478015479,0.00425660332802554
"79","MBP.6",-1.85646957182754,0.00880092755036356
"80","LOC645485",1.85582740113572,0.0634781123361205
"81","ELMOD2.2",1.855390054201,0.0101954377938631
